University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Guangxi University for Nationalities,Qufu,China,Systems Administrator II,Sharable coherent access,2018-06-20,2018-07-11,1681.1,CNY
Université de Toulouse-le-Mirail (Toulouse II),Lille,France,Data Coordinator,Configurable responsive Graphical User Interface,2018-03-20,2018-07-12,7324.55,EUR
Université de Toulouse,Annecy,France,Senior Financial Analyst,Streamlined transitional matrices,2017-01-17,2017-01-30,3645.7,EUR
Norwegian School of Management BI,Oslo,Norway,Structural Analysis Engineer,Secured systemic neural-net,2018-05-02,2018-12-02,1459.44,NOK
University of Nova Gorica,Divača,Slovenia,Senior Quality Engineer,Business-focused systematic conglomeration,2018-01-13,2018-01-16,4051.76,EUR
St. Andrew Georgian University,Qvareli,Georgia,Editor,Down-sized actuating pricing structure,2018-08-09,2018-10-25,8551.27,GEL
Fukui University of Technology,Hamakita,Japan,Research Associate,Horizontal 24 hour system engine,2017-05-02,2017-08-14,6858.67,JPY
Universidade Salvador,Cambuí,Brazil,Electrical Engineer,Horizontal holistic instruction set,2019-09-25,2019-12-05,4189.63,BRL
Universidad de Atacama,Chillán,Chile,Tax Accountant,Down-sized zero tolerance framework,2019-10-03,2019-12-13,4407.32,CLP
University of Cebu,Tayug,Philippines,Research Assistant I,Seamless mission-critical concept,2017-08-19,2018-02-22,4012.42,PHP
King Mongkut's University of Technology Ladkrabang,Khao Yoi,Thailand,Quality Engineer,Configurable multimedia Graphic Interface,2016-06-01,2016-06-06,8948.91,THB
Cheljabinsk State University,Chemal,Russia,VP Product Management,Ameliorated eco-centric local area network,2019-02-01,2019-03-22,5901.84,RUB
Botho University,Ramotswa,Botswana,Administrative Assistant III,Horizontal background infrastructure,2018-12-31,2019-03-20,8625.32,BWP
Palawan State University,Limbo,Philippines,Teacher,Customizable background throughput,2016-02-24,2016-08-19,4144.49,PHP
Ballsbridge University ,Portsmouth,Dominica,Junior Executive,Monitored dynamic adapter,2017-05-19,2017-10-19,2563.94,XCD
Universidad Metropolitana de Honduras,San Marcos,Honduras,Legal Assistant,Polarised systematic hardware,2018-10-22,2019-02-15,710.24,HNL
Fujian Normal University,Shanhe,China,Assistant Professor,Assimilated dynamic product,2017-08-03,2017-09-22,7158.22,CNY
Université Moulay Ismail Meknès,Oujda,Morocco,Media Manager II,Object-based encompassing encoding,2017-01-05,2017-05-26,4755.65,MAD
Academy of Arts,Lekaj,Albania,Automation Specialist I,Enhanced clear-thinking installation,2016-05-31,2016-08-04,9267.58,ALL
Instituto Politécnico de Santarém,Ponte da Pedra,Portugal,VP Sales,Ameliorated real-time alliance,2019-06-09,2019-10-31,2818.99,EUR
Ho Chi Minh City University of Law,Côn Sơn,Vietnam,Programmer Analyst II,Open-source secondary Graphical User Interface,2019-05-13,2019-10-25,1972.66,VND
Universitas Pasundan,Tumpang,Indonesia,Assistant Media Planner,Realigned incremental benchmark,2016-05-13,2016-07-19,9167.43,IDR
DEI Bachelor & Master Degrees,Ágios Pétros,Greece,Pharmacist,Intuitive 6th generation analyzer,2017-08-26,2018-02-08,2883.64,EUR
Institut National Polytechnique de Grenoble,Lyon,France,Software Test Engineer II,Team-oriented reciprocal methodology,2017-11-01,2018-05-08,9066.39,EUR
Pomona College,Erie,United States,Staff Accountant IV,Multi-channelled zero administration ability,2018-11-17,2019-05-16,7590.25,USD
Shenyang Institute of Chemical Technology,Shengping,China,Geological Engineer,Reduced maximized portal,2019-10-19,2020-05-25,3885.95,CNY
Universidad ICESI,Ospina,Colombia,Administrative Assistant II,Future-proofed web-enabled process improvement,2016-12-04,2016-12-24,7655.21,COP
Universidade Federal do Espírito Santo,Sananduva,Brazil,Senior Developer,Total attitude-oriented focus group,2017-10-01,2018-02-06,2382.23,BRL
Vietnam Maritime University,Phước An,Vietnam,Food Chemist,Digitized interactive portal,2019-02-17,2019-08-26,3152.27,VND
 Huaihua University,Fuchang,China,Analog Circuit Design manager,Progressive methodical synergy,2017-02-02,2017-06-18,2955.48,CNY
West China University of Medical Sciences,Shuidong,China,Structural Analysis Engineer,Operative bi-directional throughput,2018-03-19,2018-06-27,9481.05,CNY
St. Edwards University,Indianapolis,United States,Quality Engineer,Customizable static portal,2018-01-20,2018-06-18,7967.34,USD
University of Osijek,Markušica,Croatia,Research Nurse,De-engineered solution-oriented hierarchy,2016-08-18,2017-01-03,7889.54,HRK
Roanoke Bible College,Arlington,United States,Junior Executive,Organic object-oriented hierarchy,2017-02-05,2017-07-30,1739.15,USD
Guangzhou University,Guangyi,China,Media Manager IV,Seamless bifurcated encoding,2018-03-21,2018-04-22,9439.41,CNY
Shanghai University of Engineering Science,Zongluzui,China,Account Coordinator,Configurable tertiary project,2017-05-25,2017-11-24,1417.23,CNY
Instituto Tecnológico de San Luis Potosí,El Zapote,Mexico,Chemical Engineer,Robust actuating methodology,2016-10-17,2017-03-20,1911.89,MXN
Universidad Tecnológica de Honduras,Nacaome,Honduras,Human Resources Manager,Enterprise-wide value-added system engine,2016-05-14,2016-10-10,7162.73,HNL
Inner Mongolia University,Yihe,China,Quality Engineer,Ameliorated next generation encoding,2019-11-26,2019-12-13,3324.47,CNY
Cross River University of Science and Technology,Kiyawa,Nigeria,Associate Professor,Down-sized responsive open architecture,2017-05-13,2017-05-23,2627.02,NGN
Sun Yat-Sen University of Medical Sciences,Xiaojian,China,Professor,Proactive zero defect methodology,2019-07-28,2019-08-13,6350.83,CNY
Ukrainian Academy of Pharmacy,Verkhnyachka,Ukraine,Professor,Optimized secondary product,2018-04-20,2018-06-06,178.55,UAH
Universidad Nacional Autónoma de Honduras,Yuscarán,Honduras,Web Developer I,Enhanced hybrid solution,2019-08-01,2019-11-07,8386.37,HNL
Universidad del Zulia,San Francisco,Venezuela,Technical Writer,Customizable needs-based matrix,2019-08-25,2020-01-22,1727.88,VEF
Universidad del Aconcagua,Tandil,Argentina,Senior Quality Engineer,Visionary cohesive forecast,2019-10-01,2020-05-06,7670.47,ARS
Universidad Católica de Cuenca,Tulcán,Ecuador,Recruiter,Proactive interactive protocol,2016-03-02,2016-03-31,6680.4,USD
Cheljabinsk State Institute of Teacher Training,Prokhladnyy,Russia,Mechanical Systems Engineer,Upgradable disintermediate hierarchy,2016-04-24,2016-11-23,7897.33,RUB
American University,Anniston,United States,Quality Control Specialist,Ergonomic eco-centric software,2019-09-24,2020-01-02,8519.66,USD
Norwegian School of Management BI,Stavanger,Norway,Librarian,Profit-focused coherent leverage,2016-03-24,2016-08-12,4251.42,NOK
Inoorero University,Kabarnet,Kenya,GIS Technical Architect,Integrated hybrid secured line,2019-02-06,2019-05-12,8972.43,KES
International Bible College,Washington,United States,Human Resources Assistant IV,Business-focused holistic project,2018-11-06,2018-12-30,4341.44,USD
Mehrabyan Medical Institute and Medical College,Noyemberyan,Armenia,Senior Cost Accountant,Devolved impactful functionalities,2017-09-24,2018-01-07,2935.26,AMD
Pomeranian Academy of Medicine in Szczecin,Krzeszów,Poland,Internal Auditor,Switchable cohesive knowledge user,2017-06-24,2017-11-02,519.89,PLN
Universidad Lasallista Benavente,El Mirador,Mexico,Operator,Multi-channelled context-sensitive software,2019-05-03,2019-12-06,7003.21,MXN
Universidad Cooperativa de Colombia,Florencia,Colombia,Geologist IV,Re-engineered zero tolerance service-desk,2019-05-19,2019-07-01,5522.0,COP
Northeastern University,Lukou,China,Systems Administrator I,Secured 6th generation complexity,2018-11-19,2019-02-07,9145.09,CNY
Université Bordeaux I,Paris 11,France,Paralegal,Reduced directional artificial intelligence,2018-09-03,2018-11-08,1810.01,EUR
Ivanovo State University,Zhigulevsk,Russia,Structural Analysis Engineer,Multi-tiered value-added productivity,2016-07-07,2016-09-30,7399.9,RUB
Volgograd Medical Academy,Verkhniy Lomov,Russia,Cost Accountant,Progressive systemic system engine,2018-03-10,2018-09-17,2220.95,RUB
Daneshestan Institute of Higher Education,Khorramdarreh,Iran,Occupational Therapist,Exclusive analyzing attitude,2017-03-17,2017-09-11,5822.52,IRR
Universidad San Ignacio de Loyola,Cabanaconde,Peru,Human Resources Manager,Compatible global concept,2018-03-11,2018-03-24,9908.88,PEN
Central Philippine University,Vitali,Philippines,Administrative Officer,Implemented static hardware,2018-08-18,2018-10-16,8906.35,PHP
Dalian University of Foreign Language,Xiaoguwei,China,Cost Accountant,Persistent systemic complexity,2017-11-12,2017-12-11,9188.0,CNY
Hijiyama University,Ōno-hara,Japan,Geologist II,Synchronised multi-tasking protocol,2019-07-08,2019-11-13,2642.07,JPY
Universidad Galileo,Jerez,Guatemala,VP Accounting,Horizontal 24/7 forecast,2017-07-25,2017-12-07,158.64,GTQ
Universidad de San Pedro Sula,La Guama,Honduras,Quality Control Specialist,Upgradable bifurcated policy,2017-02-24,2017-05-10,2683.15,HNL
National University of Defense Technology,Fenghuo,China,Recruiter,Digitized maximized implementation,2016-09-30,2017-02-06,4290.6,CNY
Universidade Candido Mendes,Bagé,Brazil,Quality Control Specialist,Team-oriented neutral core,2017-03-03,2017-03-24,1075.07,BRL
Norwegian School of Management BI,Sandefjord,Norway,Accountant III,Realigned 24 hour product,2016-06-23,2016-07-11,1003.79,NOK
Araullo University,Paagahan,Philippines,Environmental Specialist,Innovative zero tolerance emulation,2019-05-03,2019-10-10,1710.25,PHP
Sumy National Agrarian University,Zaozerne,Ukraine,Human Resources Assistant III,Public-key analyzing initiative,2019-07-04,2019-07-22,7639.28,UAH
Yantai Education Institute & Yantai Television University,Nailung,China,Accounting Assistant III,Secured web-enabled groupware,2018-02-03,2018-05-25,379.36,CNY
Universidade Vale do Rio Doce,Rosário do Sul,Brazil,Research Associate,Upgradable optimal superstructure,2017-09-05,2017-10-13,3655.77,BRL
Cagayan State University,Caticugan,Philippines,Cost Accountant,Networked well-modulated leverage,2017-03-06,2017-08-19,2625.21,PHP
Universitas Simalungun,Parung,Indonesia,Environmental Specialist,Virtual needs-based parallelism,2018-02-11,2018-03-20,2925.95,IDR
Zhengzhou University of Technology,Guluoshan,China,Software Test Engineer I,Multi-layered user-facing hierarchy,2016-11-08,2016-11-11,1339.21,CNY
Ho Chi Minh City University of Foreign Languages and Information Technology,Chư Ty,Vietnam,Sales Associate,Multi-lateral radical success,2019-11-15,2020-03-05,896.67,VND
Universitas Islam Riau,Cimaung Kidul,Indonesia,Project Manager,Upgradable upward-trending Graphical User Interface,2017-03-09,2017-06-14,2133.64,IDR
"American University Extension, Okinawa",Yanai,Japan,Community Outreach Specialist,Reactive 4th generation website,2016-10-04,2016-11-08,1578.44,JPY
Fundação Educacional de Ituverava,Campo Verde,Brazil,Programmer Analyst II,Ameliorated reciprocal hardware,2018-07-16,2018-10-16,1603.15,BRL
Universidad Nacional de Santa - Chimbote,Quilmaná,Peru,Project Manager,Customizable optimal focus group,2017-03-10,2017-09-03,8274.65,PEN
Staszic Pila College,Kunów,Poland,Paralegal,Proactive asynchronous matrix,2019-01-31,2019-03-23,9551.84,PLN
Sweet Briar College,Roanoke,United States,Administrative Officer,Upgradable even-keeled process improvement,2016-12-16,2017-06-22,8584.28,USD
Nanjing Union Theological Seminary,Sigou,China,Accounting Assistant I,Vision-oriented didactic support,2016-05-03,2016-09-10,8626.51,CNY
University of Ruhuna,Horana South,Sri Lanka,Environmental Tech,Enhanced heuristic extranet,2019-05-08,2019-09-18,1285.3,LKR
University of the Assumption,Sexmoan,Philippines,Programmer II,Reverse-engineered zero defect strategy,2016-09-20,2016-12-13,6587.61,PHP
San Diego University for Integrative Studies,Fort Wayne,United States,VP Accounting,Enterprise-wide clear-thinking task-force,2016-07-15,2016-10-03,1703.21,USD
Universidad Dr. Jose Matias Delgado,El Congo,El Salvador,Engineer III,Integrated uniform paradigm,2016-02-24,2016-08-01,4786.43,USD
University of Limpopo,Frankfort,South Africa,Research Nurse,Public-key systemic process improvement,2018-11-21,2019-01-27,3170.98,ZAR
Ecole Catholique d'Arts & Metiers,Carcassonne,France,Web Developer III,User-friendly client-server archive,2017-02-17,2017-08-10,894.93,EUR
Mindanao State University,Mantang,Philippines,GIS Technical Architect,Managed client-driven pricing structure,2017-08-11,2018-02-15,407.35,PHP
Foreign Trade University,Doug An,Vietnam,Electrical Engineer,Robust mobile firmware,2018-07-08,2018-08-13,7272.47,VND
Badakhshan University,Kafir Qala,Afghanistan,VP Accounting,Right-sized scalable benchmark,2016-10-14,2017-01-09,5119.48,AFN
Cyberjaya University College of Medical Science,Putrajaya,Malaysia,Design Engineer,Distributed dedicated functionalities,2018-06-27,2018-12-25,3194.11,MYR
Universidade Ibirapuera,Nova Lima,Brazil,Accountant IV,Exclusive clear-thinking core,2017-12-07,2018-03-02,8204.55,BRL
Xi'an Highway University,Linshui,China,Safety Technician II,Configurable dynamic circuit,2016-07-26,2016-12-17,7133.58,CNY
Brussels School of International Studies,Namur,Belgium,Senior Quality Engineer,Distributed 6th generation initiative,2016-12-05,2017-06-30,3926.03,EUR
Universidade Metodista de Piracicaba,Serra Talhada,Brazil,Chief Design Engineer,Exclusive upward-trending local area network,2016-06-19,2016-08-29,9513.67,BRL
Aichi Gakusen University,Matsubase,Japan,Legal Assistant,Reduced 3rd generation attitude,2019-08-30,2020-01-15,6679.24,JPY
Universitas Muhammadiyah Makassar,Cimadang,Indonesia,Recruiter,Centralized global projection,2018-07-31,2018-08-13,3750.28,IDR
L.N. Gumilyov Eurasian National University,Oytal,Kazakhstan,Help Desk Technician,Visionary multi-tasking info-mediaries,2016-07-25,2017-02-23,6760.86,KZT
Gansu University of Technology,Baipenzhu,China,Cost Accountant,Polarised scalable strategy,2017-04-25,2017-06-21,3852.62,CNY
Ecole Française d'Electronique et d'Informatique,Rouen,France,Assistant Media Planner,Business-focused optimal algorithm,2016-07-02,2016-10-16,8926.52,EUR
Universitas Proklamasi 45,Babakan,Indonesia,Administrative Officer,Front-line executive model,2018-02-24,2018-06-02,7763.33,IDR
St. Petersburg State Agrarian University,Glyadyanskoye,Russia,Librarian,Intuitive neutral interface,2019-10-30,2020-04-15,7621.92,RUB
Keck Graduate Institute of Applied Life Sciences,Mobile,United States,Help Desk Operator,Programmable multimedia support,2018-01-16,2018-07-24,1544.11,USD
University of Geneva,Chur,Switzerland,Financial Analyst,User-friendly optimal info-mediaries,2017-09-03,2018-01-18,1933.48,CHF
National University of Laos,Xamtay,Laos,Marketing Assistant,Reduced context-sensitive customer loyalty,2018-08-08,2018-08-10,7104.55,LAK
Institute of Commerce and Business,Altanbulag,Mongolia,Compensation Analyst,Triple-buffered needs-based intranet,2019-09-09,2019-12-21,9052.76,MNT
City University Programs in Bulgaria ,Bansko,Bulgaria,VP Quality Control,Right-sized hybrid ability,2017-06-02,2017-06-15,7351.73,BGN
Zhongshan University,Hongsi,China,Account Executive,Monitored 24/7 capacity,2016-05-08,2016-11-16,6884.57,CNY
STMIK AMIKOM Yogyakarta,Cidima,Indonesia,Teacher,Seamless static capability,2016-08-25,2016-10-22,2618.02,IDR
Universitas Bakrie,Bintang,Indonesia,Recruiting Manager,Down-sized disintermediate toolset,2019-07-09,2019-10-28,6725.28,IDR
Wuyi University,Luodian,China,Business Systems Development Analyst,Secured asynchronous product,2016-12-10,2017-07-01,2491.98,CNY
St. Petersburg State Institute of Technology (Technological University),Tashla,Russia,Information Systems Manager,Up-sized system-worthy product,2018-05-31,2018-08-27,5010.27,RUB
"Music Academy ""Karol Lipinski"" in Wroclaw",Niechanowo,Poland,Software Engineer I,Ergonomic content-based algorithm,2018-08-26,2019-01-27,153.42,PLN
Yantai Education Institute & Yantai Television University,Yanglin,China,Administrative Assistant I,Re-contextualized grid-enabled definition,2017-11-30,2018-01-24,373.28,CNY
Shandong Agricultural University,Xiping,China,Community Outreach Specialist,Profit-focused bandwidth-monitored definition,2017-02-13,2017-09-04,5716.8,CNY
Universitas Sanata Dharma,Ketawang,Indonesia,Web Designer III,Profit-focused encompassing complexity,2016-05-04,2016-08-27,807.55,IDR
DEI Bachelor & Master Degrees,Kallíthiron,Greece,Clinical Specialist,Self-enabling maximized functionalities,2019-07-25,2019-08-11,9619.99,EUR
St.Cyril and Methodius University,Арачиново,Macedonia,Pharmacist,Re-engineered discrete artificial intelligence,2018-08-05,2019-02-05,5239.83,MKD
Czech University of Agriculture Prague,Štítná nad Vláří,Czech Republic,Operator,Team-oriented secondary alliance,2016-08-09,2017-02-02,5001.65,CZK
Tianjin University,Baishui,China,Account Executive,Assimilated needs-based middleware,2017-01-17,2017-04-03,543.62,CNY
Universitas 17 Agustus 1945 Semarang,Tembongraja,Indonesia,Help Desk Operator,Integrated intangible portal,2016-08-15,2016-11-27,4541.61,IDR
"British Institute in Paris, University of London",Flers,France,Compensation Analyst,Persevering mobile analyzer,2018-04-20,2018-11-12,9890.26,EUR
Changchun Teachers College,Wuying,China,Human Resources Manager,Advanced neutral attitude,2016-03-10,2016-05-29,2101.25,CNY
Universidad del Pacifico,Taurija,Peru,Software Consultant,Open-architected content-based hardware,2016-10-06,2016-11-15,9093.58,PEN
Abylai Khan University,Talghar,Kazakhstan,Operator,Quality-focused intangible standardization,2018-07-14,2019-01-17,2953.57,KZT
Universidad Técnica de Ambato,Ventanas,Ecuador,Compensation Analyst,Networked user-facing migration,2016-06-09,2016-06-28,4291.6,USD
University of Modern Sciences,Markaz al Marīr,Yemen,Nurse Practicioner,Realigned tangible productivity,2018-08-06,2018-11-06,3247.68,YER
Rana Institute of Higher Education,Khafizan,Afghanistan,Software Consultant,Organized holistic matrix,2018-06-28,2018-09-03,9350.77,AFN
Technological University (Pyay),Mawlamyine,Myanmar,Legal Assistant,Team-oriented demand-driven groupware,2018-12-02,2019-02-06,1513.02,MMK
Miyazaki Prefectural Nursing University,Toride,Japan,Administrative Officer,Decentralized demand-driven function,2016-08-21,2016-12-03,6238.14,JPY
Academy of Economics in Poznan,Bejsce,Poland,Structural Engineer,Public-key background methodology,2017-04-18,2017-10-08,5517.79,PLN
Institute of Commerce and Business,Bürenhayrhan,Mongolia,Account Executive,Synchronised upward-trending open architecture,2017-10-10,2017-11-20,2522.32,MNT
Universidad de San Pedro Sula,Santa Cruz,Honduras,Human Resources Assistant I,Optional solution-oriented knowledge user,2019-04-24,2019-08-10,1308.61,HNL
Jiangxi University of Traditional Chinese Medicine,Yihe,China,Pharmacist,Cloned grid-enabled budgetary management,2017-05-26,2017-09-22,1437.72,CNY
Czech Technical University of Prague,Brniště,Czech Republic,Operator,Multi-lateral neutral matrix,2018-06-21,2018-08-26,9717.28,CZK
Aegean University,Kýria,Greece,Associate Professor,Upgradable upward-trending interface,2017-09-05,2018-03-31,8850.33,EUR
Windsor University School of Medicine,Newcastle,Saint Kitts and Nevis,Assistant Manager,Integrated user-facing benchmark,2019-08-30,2020-01-13,7005.22,XCD
Hirosaki Gakuin University,Numazu,Japan,Database Administrator I,Universal bottom-line infrastructure,2018-03-31,2018-04-03,3259.07,JPY
Universidad Nacional de Chimborazo,Loja,Ecuador,Paralegal,Grass-roots empowering data-warehouse,2017-05-27,2017-10-13,7156.22,USD
Near East University,Ýpsonas,Cyprus,Nurse Practicioner,Devolved local focus group,2018-04-28,2018-05-26,3988.46,EUR
Universidade Federal de Uberlândia,Caraguatatuba,Brazil,Project Manager,Realigned motivating implementation,2016-11-22,2017-04-07,8229.36,BRL
Politeknik Negeri Malang,Pinggan,Indonesia,Occupational Therapist,Diverse object-oriented groupware,2019-03-29,2019-07-28,5091.58,IDR
Universidad del Mar,Viña del Mar,Chile,Web Developer IV,Adaptive heuristic middleware,2019-10-04,2020-02-18,982.04,CLP
Siberian State Transport University,Boksitogorsk,Russia,Office Assistant III,Focused zero defect knowledge base,2016-08-12,2017-02-15,7794.2,RUB
Saigon University,Yên Thành,Vietnam,Junior Executive,Public-key 6th generation intranet,2016-06-01,2016-10-22,2800.61,VND
Agricultural University of Lublin,Rychtal,Poland,Biostatistician IV,Down-sized full-range knowledge user,2016-10-28,2017-01-13,9519.65,PLN
