University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Guangxi University for Nationalities,Qufu,China,Systems Administrator II,Sharable coherent access,2018-06-20,2018-07-11,1681.1,CNY
Université de Toulouse-le-Mirail (Toulouse II),Lille,France,Data Coordinator,Configurable responsive Graphical User Interface,2018-03-20,2018-07-12,7324.55,EUR
Université de Toulouse,Annecy,France,Senior Financial Analyst,Streamlined transitional matrices,2017-01-17,2017-01-30,3645.7,EUR
Norwegian School of Management BI,Oslo,Norway,Structural Analysis Engineer,Secured systemic neural-net,2018-05-02,2018-12-02,1459.44,NOK
University of Nova Gorica,Divača,Slovenia,Senior Quality Engineer,Business-focused systematic conglomeration,2018-01-13,2018-01-16,4051.76,EUR
St. Andrew Georgian University,Qvareli,Georgia,Editor,Down-sized actuating pricing structure,2018-08-09,2018-10-25,8551.27,GEL
Fukui University of Technology,Hamakita,Japan,Research Associate,Horizontal 24 hour system engine,2017-05-02,2017-08-14,6858.67,JPY
Universidade Salvador,Cambuí,Brazil,Electrical Engineer,Horizontal holistic instruction set,2019-09-25,2019-12-05,4189.63,BRL
Universidad de Atacama,Chillán,Chile,Tax Accountant,Down-sized zero tolerance framework,2019-10-03,2019-12-13,4407.32,CLP
University of Cebu,Tayug,Philippines,Research Assistant I,Seamless mission-critical concept,2017-08-19,2018-02-22,4012.42,PHP
King Mongkut's University of Technology Ladkrabang,Khao Yoi,Thailand,Quality Engineer,Configurable multimedia Graphic Interface,2016-06-01,2016-06-06,8948.91,THB
Cheljabinsk State University,Chemal,Russia,VP Product Management,Ameliorated eco-centric local area network,2019-02-01,2019-03-22,5901.84,RUB
Botho University,Ramotswa,Botswana,Administrative Assistant III,Horizontal background infrastructure,2018-12-31,2019-03-20,8625.32,BWP
Palawan State University,Limbo,Philippines,Teacher,Customizable background throughput,2016-02-24,2016-08-19,4144.49,PHP
Ballsbridge University ,Portsmouth,Dominica,Junior Executive,Monitored dynamic adapter,2017-05-19,2017-10-19,2563.94,XCD
Universidad Metropolitana de Honduras,San Marcos,Honduras,Legal Assistant,Polarised systematic hardware,2018-10-22,2019-02-15,710.24,HNL
Fujian Normal University,Shanhe,China,Assistant Professor,Assimilated dynamic product,2017-08-03,2017-09-22,7158.22,CNY
Université Moulay Ismail Meknès,Oujda,Morocco,Media Manager II,Object-based encompassing encoding,2017-01-05,2017-05-26,4755.65,MAD
